latitude,longitude,acq_date,brightness,district
26.0558,76.2012,2018-01-05,386.3,sawai-madhopur
23.9828,74.8169,2018-01-09,350.9,pratapgarh
25.3115,72.6241,2018-01-14,309.1,jalore
23.9075,73.8752,2018-01-15,321.9,dungarpur
25.1122,76.3559,2018-01-25,367.1,baran
24.3666,73.8562,2018-02-02,322.2,dungarpur
26.6742,76.8211,2018-02-05,374.3,karauli
24.5044,73.4216,2018-02-05,339.5,udaipur
25.3313,74.5948,2018-02-08,392.9,bhilwara
24.5516,76.1231,2018-02-08,392.9,jhalawar
24.6607,73.9124,2018-02-09,384.6,udaipur
24.804,73.8827,2018-02-12,355.6,udaipur
25.0121,75.7177,2018-02-18,326.7,kota
24.9314,76.7014,2018-02-23,376.5,baran
24.8017,74.1167,2018-02-23,354.1,rajsamand
23.5624,74.5703,2018-02-24,319.6,banswara
24.028,74.8978,2018-02-24,308.2,pratapgarh
29.4916,74.2983,2018-02-26,388.9,hanumangarh
26.4278,77.0169,2018-02-27,374.1,karauli
25.1617,75.7307,2018-03-01,363.6,kota
25.2536,72.9032,2018-03-03,327.4,sirohi
26.8254,77.9317,2018-03-07,332.2,dholpur
25.2039,73.6524,2018-03-08,350,rajsamand
26.1142,76.033,2018-03-10,387.9,sawai-madhopur
27.3026,77.5683,2018-03-12,325.8,bharatpur
27.2057,77.4901,2018-03-12,301.4,bharatpur
24.3144,76.4004,2018-03-12,357.7,jhalawar
29.5403,74.4758,2018-03-14,379.7,hanumangarh
27.7445,76.5122,2018-03-15,307,alwar
27.5089,76.8492,2018-03-15,329.3,alwar
27.34,77.4652,2018-03-16,389.9,bharatpur
26.3194,77.1318,2018-03-17,352.6,karauli
25.1949,76.4171,2018-03-20,345,baran
24.0044,74.7625,2018-03-20,329.4,pratapgarh
24.0361,74.7733,2018-03-21,317.8,pratapgarh
25.0303,73.7586,2018-03-23,329.9,rajsamand
24.7152,74.7154,2018-03-25,355.8,chittorgarh
26.7246,78.1794,2018-03-25,346.9,dholpur
26.4387,77.3494,2018-03-25,333.8,karauli
26.0776,76.0637,2018-03-25,365.2,sawai-madhopur
27.2957,77.5483,2018-03-26,344.2,bharatpur
27.8299,73.3536,2018-03-27,334.7,bikaner
23.5526,74.3468,2018-04-04,397.4,banswara
24.9184,76.279,2018-04-04,358.7,baran
25.514,75.7193,2018-04-04,381.7,bundi
24.9808,75.7068,2018-04-04,339.8,kota
24.7213,74.4741,2018-04-05,310.9,chittorgarh
26.4917,77.2067,2018-04-06,301,karauli
26.7303,78.127,2018-04-07,378.3,dholpur
25.9623,76.1648,2018-04-07,385.5,sawai-madhopur
27.0107,77.3194,2018-04-09,338.8,bharatpur
