latitude,longitude,acq_date,brightness
25.115,73.523,2018-04-12,320.5
25.185,73.612,2018-05-20,311.2
25.100,73.550,2018-11-05,330.1
24.950,73.410,2019-03-14,340.8
24.850,73.350,2019-04-02,315.6
25.250,73.680,2019-06-11,350.2
25.020,73.480,2020-02-19,305.5
24.750,73.280,2020-05-08,312.4
25.320,73.710,2020-10-14,321.7
24.880,73.380,2021-03-22,345.0
25.150,73.580,2021-04-30,332.9
25.400,73.780,2021-06-05,310.3
25.050,73.500,2022-01-16,355.2
24.800,73.320,2022-04-18,328.6
25.280,73.690,2022-11-23,314.1
24.920,73.430,2023-03-10,342.5
25.120,73.560,2023-05-15,318.8
24.700,73.250,2023-06-25,309.4
25.350,73.740,2024-02-08,336.7
24.820,73.340,2024-04-12,325.2
25.080,73.520,2024-05-28,348.9
25.220,73.640,2024-12-05,317.5
24.980,73.460,2025-01-20,334.3
25.160,73.600,2025-03-05,322.1
24.780,73.300,2025-04-01,313.8

25.600,73.950,2018-05-15,325.0
24.450,73.050,2019-04-10,318.5
24.350,74.100,2020-03-25,342.1
25.550,73.850,2021-05-05,330.4
24.500,73.150,2022-04-20,311.8
24.400,74.050,2023-03-18,340.5
25.650,73.900,2024-05-12,328.2
24.550,73.200,2025-04-08,315.6
